fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,total_acidity,acid_to_sugar_ratio,bound_sulfur_dioxide,is_red
7.4,0.6799999999999999,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,8.08,4.252609196793701,23.0,1
7.8,0.6799999999999999,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,5,8.48,3.2615259172080107,42.0,1
7.8,0.6799999999999999,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,5,8.52,3.704331720296868,39.0,1
9.65,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,6,10.49,5.521023573560139,43.0,1
7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,5,8.06,4.47775290137277,27.0,1
7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,5,8.56,5.349966562708983,44.0,1
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,7,7.95,6.624944792126732,6.0,1
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,7,8.399999999999999,4.199979000104999,9.0,1
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5,8.36,1.3704895565744974,85.0,1
6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54,9.2,5,7.36,4.088866172965706,50.0,1
5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,5,6.215,3.884350722807982,43.0,1
7.8,0.61,0.29,1.6,0.10800000000000001,9.0,29.0,0.9974,3.26,0.855,9.1,5,8.7,5.4374660158374,20.0,1
8.9,0.62,0.18,3.8,0.10800000000000001,52.0,145.0,0.9986,3.16,0.855,9.2,5,9.7,2.552624861513522,93.0,1
8.9,0.62,0.19,3.9,0.10800000000000001,51.0,148.0,0.9986,3.17,0.855,9.2,5,9.709999999999999,2.489737205802036,97.0,1
8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,7,9.34,5.188860061888545,68.0,1
8.1,0.56,0.28,1.7,0.10800000000000001,16.0,56.0,0.9968,3.11,0.855,9.3,5,8.94,5.258792595337674,40.0,1
7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,4,8.07,1.834086740711953,23.0,1
7.9,0.32,0.51,1.8,0.10800000000000001,17.0,56.0,0.9969,3.04,0.855,9.2,6,8.73,4.849973055705246,39.0,1
8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,6,9.600000000000001,5.333303703868312,31.0,1
7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65,9.7,5,8.299999999999999,3.6086799622610335,48.0,1
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.855,9.5,5,8.540000000000001,5.337466640833495,27.0,1
8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,5,9.1,3.956504536936796,58.0,1
6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,6,7.44,3.099987083387153,19.0,1
